117930 25433
5 12 14.2143
5 26 14.1982
5 27 20.2091
5 49 10.2179
5 52 12.2312
5 56 13.1728
5 76 11.2123
5 83 10.1788
5 84 10.2033
5 93 16.1897
5 94 11.2003
5 103 29.1681
5 116 10.1716
5 171 11.209
5 236 16.2343
5 238 17.165
5 316 19.2228
5 329 13.1929
5 403 10.1874
5 429 14.21
5 440 24.168
5 495 10.1918
5 507 12.2016
5 671 19.1642
5 676 12.1967
5 694 11.2384
5 704 16.1854
5 789 14.2106
5 949 10.2156
5 952 11.2267
5 990 10.2093
5 1136 23.1799
5 1443 15.2138
5 1633 12.2353
5 1721 11.1802
5 1803 11.2085
5 1906 13.2393
5 1915 11.1916
5 2206 10.2207
5 2526 16.1922
5 2551 19.1941
5 2554 16.148
5 2564 13.1881
5 2576 12.2154
5 2589 18.1618
5 2604 17.1687
5 2608 12.2032
5 2619 14.1709
5 2631 15.1727
5 2654 28.1744
5 2666 19.1687
5 2678 16.175
5 2679 10.1526
5 2681 12.2323
5 2688 13.1455
5 2689 13.1526
5 2691 14.1617
5 2692 13.1521
5 2695 17.1533
5 2702 14.1985
5 2723 14.1865
5 2745 10.1494
5 2751 12.1594
5 2753 11.1782
5 2754 14.1988
5 2762 21.1603
5 2807 11.1715
5 2818 14.1909
5 2876 18.1853
5 2888 21.1718
5 2889 17.1487
5 2893 12.1519
5 2897 16.1586
5 2898 16.15
5 2899 19.1656
5 2909 12.1587
5 2911 16.198
5 2922 13.1459
5 2923 13.1915
5 2927 17.1457
5 2945 10.1447
5 2946 15.1411
5 2948 10.1498
5 2956 11.1332
5 2957 16.1581
5 2958 22.155
5 2959 16.1522
5 2960 16.1763
5 2962 15.1472
5 2965 10.1618
5 3092 13.2201
5 3096 18.1822
5 3109 17.2327
5 3111 12.2055
5 3163 13.2282
5 3188 15.2034
5 3193 12.1875
5 3278 10.1965
5 3342 12.1635
5 3364 10.158
5 3653 14.1666
5 3688 13.1813
5 3883 17.1705
5 4024 15.2157
5 4315 10.2002
5 4650 23.2392
5 5150 10.1765
5 5279 10.1859
5 5733 10.2267
5 6117 10.19
5 6460 10.1939
5 6624 13.2167
5 7153 11.1881
5 8163 10.223
5 8651 10.1494
5 8652 12.1622
5 8668 12.1751
5 8755 12.2115
5 8935 11.1659
5 8985 10.1516
5 9252 10.1778
5 9383 17.2129
5 9745 15.2031
5 10185 10.2533
5 10241 10.2258
5 10266 13.1934
5 10335 11.1783
5 10471 10.2347
5 10625 13.2213
5 10951 10.1985
5 10972 12.2458
5 11351 14.1849
5 11393 10.2487
5 11616 15.2107
5 11695 10.2195
5 11723 13.2458
5 12061 13.1895
5 12092 10.2219
5 12158 10.188
5 12412 12.201
5 12588 11.1982
5 12850 10.1555
5 12904 25.197
5 12909 10.1879
5 12948 13.1915
5 13175 12.1739
5 13606 13.224
5 13962 11.2086
5 13997 12.1899
5 14024 13.1932
5 14193 12.1991
5 14749 13.2396
5 14784 10.1855
5 14785 12.1689
5 15106 10.2051
5 15201 12.1961
5 15213 14.2097
5 15270 14.2435
5 15680 10.2229
5 16150 11.1795
5 16259 18.198
5 16297 10.2091
5 16344 11.2008
5 16400 11.179
5 16968 12.1921
5 17596 11.1949
5 17995 10.1904
5 18090 12.1924
5 18172 11.196
5 18298 13.2183
5 18887 11.2486
5 19422 11.1774
5 19816 15.2162
5 20016 12.1875
5 20980 14.2037
5 23431 11.1816
5 24119 10.2186
5 25245 14.2477
5 26407 11.2018
5 27629 10.2585
5 30471 11.2184
10 26 23.2672
10 27 43.2872
10 41 17.269
10 52 14.3143
10 56 15.2351
10 75 30.2686
10 76 23.2742
10 83 17.2554
10 93 19.2653
10 94 22.2558
10 103 26.2429
10 116 10.2393
10 159 15.2865
10 192 16.2874
10 238 11.2261
10 316 10.2531
10 318 12.3281
10 329 20.2758
10 440 12.2352
10 450 18.2688
10 671 41.2221
10 704 14.2032
10 949 10.291
10 1136 11.2481
10 1373 13.2934
10 1803 12.2828
10 1906 10.2894
10 2206 17.3209
10 2355 10.234
10 2526 13.2848
10 2540 11.3093
10 2551 13.2813
10 2554 10.1925
10 2564 16.2861
10 2565 15.3214
10 2589 11.2188
10 2604 10.245
10 2608 13.2783
10 2619 12.2405
10 2644 10.2746
10 2654 19.2354
10 2657 27.3056
10 2666 41.2505
10 2702 15.2966
10 2723 16.2428
10 2759 11.2284
10 2888 13.2225
10 2899 14.2258
10 3088 11.2265
10 3094 11.3196
10 3096 15.2562
10 3109 16.3027
10 3111 10.2936
10 3188 16.2983
10 3217 11.2642
10 3278 15.2773
10 3342 13.2338
10 3398 10.2418
10 3936 13.2236
10 4357 11.2268
10 4650 14.2918
10 5860 13.2542
10 6624 10.2982
10 7136 26.2504
10 8555 19.2822
10 9745 10.2948
10 10625 15.2813
10 11723 16.3244
10 12904 25.2697
10 13175 12.2273
10 13962 10.3013
10 14024 14.2792
10 14193 12.2658
10 14281 18.2523
10 14323 24.2813
10 14332 11.2734
10 14749 11.3075
10 14752 10.301
10 14786 15.2919
10 15213 11.2958
10 15302 11.2581
10 16259 19.2663
10 17033 10.2307
10 17407 10.3343
10 17478 14.3252
10 22141 15.3346
10 23355 10.2967
10 25245 16.3227
12 56 10.201
12 93 11.2223
12 103 19.1918
12 238 18.2012
12 316 15.2492
12 440 13.2029
12 676 11.2019
12 704 10.2029
12 789 10.2454
12 1051 10.2497
12 1136 15.2242
12 1443 10.2461
12 1633 11.2866
12 1803 11.2515
12 1906 10.2778
12 2526 10.2293
12 2551 14.2439
12 2554 10.1632
12 2654 16.206
12 2666 12.1944
12 2695 11.1671
12 2762 13.1846
12 2876 14.207
12 2888 14.2016
12 2897 10.1799
12 2899 10.1948
12 2911 11.2205
12 2927 11.154
12 2958 12.1738
12 3193 10.239
12 3688 11.2055
12 3883 10.2079
12 4650 17.2768
12 6571 11.2101
12 8788 10.2139
12 9745 11.2545
12 12904 17.2295
12 12948 10.2274
12 15270 14.2836
12 16255 10.2437
12 16259 11.2364
12 18298 10.2535
12 19816 12.2379
12 20980 10.2599
12 26407 10.2283
12 27629 10.2911
12 30471 10.2513
26 27 38.272
26 41 10.2492
26 49 23.285
26 52 12.2949
26 53 12.2681
26 56 17.2257
26 71 15.2536
26 76 29.2573
26 83 25.2465
26 93 15.2525
26 94 12.2418
26 103 28.2321
26 116 28.2296
26 159 12.277
26 236 13.259
26 238 33.2193
26 242 15.2667
26 255 11.2185
26 316 15.2345
26 329 28.259
26 403 10.2105
26 440 29.2274
26 450 10.2448
26 495 12.209
26 671 38.2166
26 676 10.1929
26 704 16.1968
26 789 13.2412
26 949 14.2747
26 952 11.2661
26 1051 16.2555
26 1136 21.2381
26 1915 10.2585
26 2526 13.2646
26 2551 26.2667
26 2554 22.192
26 2555 12.2296
26 2564 16.2674
26 2565 12.297
26 2572 14.2666
26 2576 11.273
26 2581 10.2299
26 2583 10.2759
26 2585 13.2709
26 2589 25.2133
26 2603 12.2763
26 2604 21.2332
26 2607 13.2422
26 2608 12.2632
26 2617 13.2898
26 2619 14.2232
26 2631 12.2215
26 2634 15.2231
26 2641 12.2376
26 2644 22.2589
26 2645 13.2856
26 2648 10.262
26 2651 14.2287
26 2654 43.2291
26 2657 22.2862
26 2666 34.2382
26 2673 18.2536
26 2678 18.2225
26 2679 16.1924
26 2681 11.3054
26 2687 12.2455
26 2688 19.1887
26 2689 17.2017
26 2691 19.203
26 2692 19.191
26 2695 26.2013
26 2699 13.3328
26 2702 13.2789
26 2706 13.1929
26 2720 11.2708
26 2723 12.2286
26 2742 12.2064
26 2748 18.1862
26 2750 10.1934
26 2751 21.1998
26 2753 19.2244
26 2754 14.254
26 2762 23.2028
26 2765 16.191
26 2776 20.2747
26 2807 12.2094
26 2818 14.2586
26 2870 13.1785
26 2876 17.2319
26 2888 27.2195
26 2889 27.1891
26 2893 17.1886
26 2895 13.1631
26 2897 18.2047
26 2898 22.1863
26 2899 26.2221
26 2900 10.2283
26 2902 12.1872
26 2905 10.1957
26 2909 16.1907
26 2910 11.1999
26 2911 15.2404
26 2922 16.1831
26 2923 16.2219
26 2927 21.1861
26 2938 10.2042
26 2945 19.1732
26 2946 24.1825
26 2948 14.188
26 2951 10.2426
26 2954 14.1801
26 2955 11.1721
26 2956 22.1677
26 2957 22.2143
26 2958 28.2006
26 2959 22.1955
26 2960 17.211
26 2961 13.181
26 2962 20.1942
26 3096 22.2432
26 3109 14.2795
26 3111 11.2747
26 3115 15.2533
26 3163 11.2791
26 3188 15.2758
26 3193 13.2513
26 3257 12.1705
26 3278 14.2597
26 3342 15.2253
26 3364 12.1906
26 3591 21.1989
26 3644 10.226
26 3688 15.2095
26 3768 10.2183
26 3883 23.2255
26 3936 10.2164
26 4024 13.2647
26 4357 15.2219
26 4650 19.2693
26 5150 16.2294
26 5279 10.2186
26 5298 12.2593
26 5317 14.1926
26 5415 15.2445
26 6942 13.2152
26 7136 16.239
26 7153 15.2179
26 7222 12.2301
26 7541 10.1866
26 8163 13.319
26 8222 11.2221
26 8651 10.2073
26 8652 18.2209
26 8668 23.2303
26 8707 10.2409
26 8752 16.2037
26 8755 11.2517
26 8760 10.1945
26 8788 10.216
26 8933 15.2284
26 8936 13.2177
26 8945 15.2166
26 8950 20.2193
